Date,Avinash_Distance,Juhan_Distance,Daniel_Distance,Viet_Distance,Avg_Distance,Precipitation,,,,,,,,,,
2019-04-05,1.03,0.19,0.51,0.01,0.44,0.2,,,,,,,,,,
2019-04-06,1.38,1.12,0.73,3.4,1.66,0,,,,,,,,,,
2019-04-07,1.05,0.64,2.2,2,1.47,0,,,,,,,,,,
2019-04-08,1.34,0.62,0.84,4.4,1.80,0.26,,,,,,,,,,
2019-04-09,3.62,6.2,1.6,2.4,3.46,0.03,,,,,,,,,,
2019-04-10,1.98,1.62,0.03,5.3,2.23,0,,,,,,,,,,
2019-04-11,4.25,6.6,2,6,4.71,0,,,,,,,,,,
2019-04-12,1.06,4.98,0.58,4.7,2.83,0.63,,,,,,,,,,
2019-04-13,0.39,1.31,1.4,4.3,1.85,0.24,,,,,,,,,,
2019-04-14,1.82,0.06,0.72,3.7,1.58,0.01,,,,,,,,,,
2019-04-15,4.32,0.4,0.28,2.2,1.80,0.96,,,,,,,,,,
2019-04-16,1.13,0.64,1.5,6,2.32,0,,,,,,,,,,
2019-04-17,1.20,2.11,1.3,4.8,2.35,0.01,,,,,,,,,,
2019-04-18,2.28,4.5,1.6,5.4,3.44,0,,,,,,,,,,
2019-04-19,2.61,0.51,3.3,6.2,3.15,0.01,,,,,,,,,,
2019-04-20,2.63,0.61,0.02,2.6,1.46,0.7,,,,,,,,,,
2019-04-21,1.14,0.03,3.2,6.6,2.74,0,,,,,,,,,,
2019-04-22,3.59,0.29,0.43,0.04,1.09,0.24,,,,,,,,,,
2019-04-23,2.96,0.5,0.03,4.2,1.92,0.08,,,,,,,,,,
2019-04-24,0.81,0.25,1.3,5,1.84,0,,,,,,,,,,
2019-04-25,3.48,4.71,0.71,2.2,2.77,0.02,,,,,,,,,,
2019-04-26,0.64,0.31,0.32,0.02,0.32,1.03,,,,,,,,,,
2019-04-27,2.64,2.74,0.24,4.4,2.50,0.07,,,,,,,,,,
2019-04-28,1.07,0.11,0.86,1.1,0.78,0.01,,,,,,,,,,
2019-04-29,1.00,0.44,3.5,5.6,2.64,0.01,,,,,,,,,,
2019-04-30,2.58,5.6,1.4,2.8,3.10,0.04,,,,,,,,,,
2019-05-01,1.06,0.47,3.1,7.2,2.96,0,,,,,,,,,,
